,label_id,category,count
249,548,Industry tag,24240597
270,704,Property Industry 2.0,16824664
250,549,Property Industry 1.0,13680442
246,405,Custom label,8239886
279,713,Services 1,8182546
291,730,And the Church,7257951
239,302,unknown,5985005
305,756,Internet banking,5984722
207,251,Finance,5003073
240,303,unknown,4166625
477,1007,P2P net loan,4035980
318,775,Liquid medium,3713370
276,710,Relatives 1,3123615
326,783,High risk,2881203
280,714,1 free,2825679
328,786,Low risk,2628813
208,252,Wealth Management,2545297
287,721,Personal Effectiveness 1,2523627
138,172,IM,2515242
322,779,Higher income,2456072
306,757,P2P,2400236
443,959,financial,2224282
444,960,P2P,2224282
241,306,unknown,2012991
325,782,Low income,1995422
219,263,Debit and credit,1960376
100,128,online malls,1951109
320,777,Low liquidity,1937055
144,179,video,1907774
329,787,Low Risk,1854674
218,262,Pay,1763881
310,761,Financial Services,1472464
324,781,Low profitability,1409720
478,1008,Pay,1315676
259,564,pursue,1290473
323,780,Moderate profitability,1278365
482,1012,Internet Banking,1236732
316,773,High Flow,1235276
474,1003,fashion,1223571
308,759,Third party payment,1195241
302,751,Bank financing,1192547
290,724,Total Cost 1,1095786
266,691,mobile bank,1076763
210,254,Direct Bank,1059612
485,1015,mobile bank,1031371
307,758,Direct Banking,982976
289,723,Cozy 1,950215
336,794,Tencent,946265
257,562,Science and Technology,930452
303,752,fixed income,852099
143,178,music,851512
286,720,Smart Shopping 1,815257
212,256,Securities,810847
484,1014,Consumer Finance,793457
248,407,DS_P2P net loan,728504
247,406,unknown,728504
209,253,IMF,666571
401,909,Air Travel,644721
416,932,travel,611623
135,168,community,587557
271,705,Quality 1,570974
317,774,High mobility,564807
432,948,Booking channels,551190
150,186,Taxi,547782
147,183,map,534715
142,177,radio,533008
380,854,Property Industry new,532451
131,163,Technology Information,526837
133,166,weibo,510032
101,129,"online shopping by group, like groupon",508824
120,152,reading platform,468581
272,706,Customized 1,449190
321,778,High profitability,425272
296,737,fund,423187
170,209,pictures photography,418271
297,738,Monetary Fund,400356
285,719,Pursuit 1,383418
126,158,news,375949
366,825,the film,368813
168,206,Medical,353594
437,953,Integrated Air Travel Booking,352437
292,731,stock,348143
337,795,game,347181
293,732,A shares,345400
304,755,Consumer loans,341105
330,788,Financial Supermarket,337819
102,130,online shopping navigation,337739
188,227,Integrated Living,325694
184,223,convenience services,303074
157,193,tourism product,298299
182,221,Accounting,296451
251,551,Customization,295906
183,222,Car Owners,291132
370,829,Buy class,278702
490,1020,Bank Credit Card,262866
275,709,1 reputation,262355
396,870,Personal Effectiveness,258277
489,1019,Internet Securities,249438
189,229,Jobs,247081
283,717,Science and Technology 1,244999
281,715,Passion 1,242527
154,190,train,241105
372,840,Maternal and child population,238014
166,204,sports and gym,233309
103,131,"online shopping, price comparing",228964
481,1011,Third-party card management,228428
196,236,network disk,228427
261,566,Personal Effectiveness,226089
277,711,Irritation / Fun 1,223343
255,558,service,221469
385,859,pursue,214438
359,818,literature,194496
327,785,Medium risk,193359
273,707,Trendy / cool 1,191766
172,211,takeaway ordering,184381
245,326,Condition of the vehicles,184129
278,712,Nature 1,180180
475,1005,Traditional securities brokerage,167927
435,951,High-speed rail train reservation,163013
94,100,Cute style comic,162084
397,871,service,161915
417,933,Purpose of travel,160316
191,231,notes,149921
167,205,health,149119
244,318,unknown,146792
175,214,Reviews,146295
299,747,Insurance,140748
480,1010,Accounting,140617
260,565,Smart Shopping,137788
216,260,Crowdfunding financing,133715
152,188,flight,132608
23,27,game-Cartoon,125547
374,842,Families with babies,125276
221,266,Housing Advice,124234
488,1018,Direct Banking,122398
354,813,The elimination of class,121823
169,207,Health Management,120435
36,42,poker game_doudizhu,118640
284,718,1 vitality,118442
319,776,Lower liquidity,109910
211,255,Direct Insurance,102436
421,937,Integrated tourism,102215
483,1013,Financial Information,101634
256,559,free,99889
361,820,read,98184
119,151,dictionary,98035
331,789,other,97858
108,137,foreign language,97735
233,279,Automotive News,95859
487,1017,Heritage Foundation,91298
232,277,the film,89636
106,135,education outside class,88220
217,261,Lottery ticket,87684
153,189,Bus,85307
375,843,Pregnant baby,85133
116,148,novels,84228
10,13,game-Puzzle,81481
195,235,Contacts,81036
367,826,Online booking class,80956
192,232,notes,77630
268,694,Wearable Health,77563
145,180,show,77350
109,138,professional skills,77093
301,749,Insurance,77016
252,552,Trendy / cool,74424
254,555,Relatives,74424
136,169,picture sharing,74270
197,237,store management,72998
127,159,Entertainment News,71032
352,811,Chess categories,69633
113,142,exams,67784
105,134,education for babies,67692
274,708,Simple 1,61639
161,198,Appliances,61477
476,1006,Lottery ticket,60921
151,187,Car,60515
124,156,science,59852
376,844,Parenting stage,59260
226,271,Prepare pregnant pregnancy,57698
379,847,Sea Amoy,57590
298,744,Equity Fund,55836
391,865,Science and Technology,54827
134,167,love and marriage,54786
176,215,Recipes,53399
383,857,free,53226
190,230,Scheduling,52950
186,225,Points Activities,52341
155,191,Hotel application,50363
269,695,Smart Appliances,50077
181,220,Calendar,47933
137,170,blogs,47407
402,910,aviation,47290
333,791,Lottery ticket,47126
26,31,game-Tactics,46230
129,161,Sports News,44845
364,823,Other Read,44758
332,790,Financial Information,44391
180,219,Express,43701
118,150,comics,43670
9,12,game-Music and Dance,43647
486,1016,Traditional Insurance,42956
12,16,game-Parkour,41645
377,845,Families with big baby,41635
347,806,music,40623
41,47,poker,39892
132,164,gaming strategy,39853
45,51,Intellectual development game,39636
313,770,Stock Futures,39526
314,771,Commodity Futures,38526
355,814,Animation,35775
234,280,Sale of cars,35472
24,29,game-Role -playing games,34872
112,141,library,34096
203,246,readers,33899
300,748,Life Insurance,32394
130,162,Financial Information,32302
438,954,Hotels,32172
439,955,Hotel Type,32172
390,864,Reputation,32013
86,92,magic,31235
18,22,game-Box,31052
424,940,Free exercise,30527
423,939,Travel Information,30527
156,192,Travel advisory,30045
193,233,File Editor,29930
37,43,chess,29726
98,104,realistic style comic,29371
418,934,Travel Travel,28907
5,8,game-stress reliever,27924
122,154,joke,27781
373,841,Prepare baby,27764
7,10,game-Answer,27571
117,149,magazine and journal,27549
185,224,fashion outfit,27451
378,846,Families with small babies,27392
214,258,Exchange,27103
407,922,Aviation Integrated Services,26410
408,923,Aeronautical Information Service,26377
148,184,navigation,25742
30,36,game-shooting,25519
387,861,Cool trendy,25090
262,568,comfortable,24991
199,240,System Tools,24733
115,147,children books,24642
228,273,Maternal and child supplies,24103
362,821,Pirated content,24077
48,54,checkpoints game,23329
356,815,Animation aggregate class,23005
8,11,game-Fishing,22963
441,957,Hotel Chain,22887
399,873,Stimulate fun,22481
388,862,Relatives,22334
38,44,majiang,21490
91,97,japanese and korean style,21315
411,926,Flight area,20907
403,916,Airline type,20880
89,95,sports,20807
400,874,comfortable,20581
412,927,Chinese mainland (Airlines),20395
146,181,Audiobooks,20172
282,716,Noble 1,20141
419,935,Overseas travel,19644
363,822,Listening to books category,19055
25,30,game-Competitive action,18667
194,234,business cards,18660
82,88,millitary and wars,18192
114,144,class managemetn,18173
343,802,SLG (strategy),17188
393,867,Enthusiasm,16937
242,316,Occupational identity,16627
404,917,Full Service Airlines,16259
351,810,Casual puzzle categories,16193
