,label_id,category,not_active_cou,active_cou,all_cou
489,548,Industry tag,14394096.0,9846501.0,24240597.0
629,704,Property Industry 2.0,10017203.0,6807461.0,16824664.0
490,549,Property Industry 1.0,7567242.0,6113200.0,13680442.0
359,405,Custom label,5902239.0,2337647.0,8239886.0
638,713,Services 1,5084162.0,3098384.0,8182546.0
650,730,And the Church,5129490.0,2128461.0,7257951.0
266,302,unknown,3858323.0,2126682.0,5985005.0
676,756,Internet banking,4164804.0,1819918.0,5984722.0
232,251,Finance,3518798.0,1484275.0,5003073.0
267,303,unknown,2547005.0,1619620.0,4166625.0
915,1007,P2P net loan,2790209.0,1245771.0,4035980.0
693,775,Liquid medium,2724044.0,989326.0,3713370.0
635,710,Relatives 1,1213586.0,1910029.0,3123615.0
701,783,High risk,2042057.0,839146.0,2881203.0
639,714,1 free,1962596.0,863083.0,2825679.0
704,786,Low risk,1758073.0,870740.0,2628813.0
233,252,Wealth Management,1686033.0,859264.0,2545297.0
646,721,Personal Effectiveness 1,1691617.0,832010.0,2523627.0
153,172,IM,783281.0,1731961.0,2515242.0
697,779,Higher income,1727403.0,728669.0,2456072.0
677,757,P2P,1678253.0,721983.0,2400236.0
871,959,financial,1545879.0,678403.0,2224282.0
872,960,P2P,1545879.0,678403.0,2224282.0
270,306,unknown,1426462.0,586529.0,2012991.0
700,782,Low income,1463575.0,531847.0,1995422.0
244,263,Debit and credit,1229161.0,731215.0,1960376.0
109,128,online malls,1241230.0,709879.0,1951109.0
695,777,Low liquidity,1402201.0,534854.0,1937055.0
160,179,video,1315231.0,592543.0,1907774.0
705,787,Low Risk,1334023.0,520651.0,1854674.0
243,262,Pay,1039147.0,724734.0,1763881.0
681,761,Financial Services,1021777.0,450687.0,1472464.0
699,781,Low profitability,1108431.0,301289.0,1409720.0
916,1008,Pay,791140.0,524536.0,1315676.0
505,564,pursue,1091736.0,198737.0,1290473.0
698,780,Moderate profitability,703599.0,574766.0,1278365.0
920,1012,Internet Banking,964619.0,272113.0,1236732.0
691,773,High Flow,654023.0,581253.0,1235276.0
911,1003,fashion,729403.0,494168.0,1223571.0
679,759,Third party payment,627609.0,567632.0,1195241.0
671,751,Bank financing,937533.0,255014.0,1192547.0
649,724,Total Cost 1,823146.0,272640.0,1095786.0
617,691,mobile bank,889156.0,187607.0,1076763.0
235,254,Direct Bank,890315.0,169297.0,1059612.0
923,1015,mobile bank,873622.0,157749.0,1031371.0
678,758,Direct Banking,830932.0,152044.0,982976.0
648,723,Cozy 1,631622.0,318593.0,950215.0
712,794,Tencent,744364.0,201901.0,946265.0
503,562,Science and Technology,790557.0,139895.0,930452.0
672,752,fixed income,720086.0,132013.0,852099.0
159,178,music,527740.0,323772.0,851512.0
645,720,Smart Shopping 1,659555.0,155702.0,815257.0
237,256,Securities,571941.0,238906.0,810847.0
922,1014,Consumer Finance,563704.0,229753.0,793457.0
360,406,unknown,523546.0,204958.0,728504.0
361,407,DS_P2P net loan,523546.0,204958.0,728504.0
234,253,IMF,503514.0,163057.0,666571.0
826,909,Air Travel,518469.0,126252.0,644721.0
844,932,travel,489155.0,122468.0,611623.0
149,168,community,385920.0,201637.0,587557.0
630,705,Quality 1,443469.0,127505.0,570974.0
692,774,High mobility,428727.0,136080.0,564807.0
860,948,Booking channels,443677.0,107513.0,551190.0
167,186,Taxi,260001.0,287781.0,547782.0
164,183,map,432580.0,102135.0,534715.0
158,177,radio,203319.0,329689.0,533008.0
771,854,Property Industry new,490281.0,42170.0,532451.0
144,163,Technology Information,322903.0,203934.0,526837.0
147,166,weibo,246054.0,263978.0,510032.0
110,129,"online shopping by group, like groupon",424703.0,84121.0,508824.0
133,152,reading platform,345074.0,123507.0,468581.0
631,706,Customized 1,326249.0,122941.0,449190.0
696,778,High profitability,314793.0,110479.0,425272.0
657,737,fund,328321.0,94866.0,423187.0
190,209,pictures photography,240400.0,177871.0,418271.0
658,738,Monetary Fund,306996.0,93360.0,400356.0
644,719,Pursuit 1,304119.0,79299.0,383418.0
139,158,news,235443.0,140506.0,375949.0
742,825,the film,295040.0,73773.0,368813.0
187,206,Medical,129328.0,224266.0,353594.0
865,953,Integrated Air Travel Booking,266113.0,86324.0,352437.0
651,731,stock,258319.0,89824.0,348143.0
713,795,game,270407.0,76774.0,347181.0
652,732,A shares,256199.0,89201.0,345400.0
675,755,Consumer loans,218027.0,123078.0,341105.0
706,788,Financial Supermarket,283552.0,54267.0,337819.0
111,130,online shopping navigation,226453.0,111286.0,337739.0
208,227,Integrated Living,252087.0,73607.0,325694.0
204,223,convenience services,142518.0,160556.0,303074.0
174,193,tourism product,215278.0,83021.0,298299.0
202,221,Accounting,172310.0,124141.0,296451.0
492,551,Customization,259463.0,36443.0,295906.0
203,222,Car Owners,212101.0,79031.0,291132.0
746,829,Buy class,220534.0,58168.0,278702.0
928,1020,Bank Credit Card,215482.0,47384.0,262866.0
634,709,1 reputation,218311.0,44044.0,262355.0
787,870,Personal Effectiveness,241885.0,16392.0,258277.0
927,1019,Internet Securities,169978.0,79460.0,249438.0
210,229,Jobs,197024.0,50057.0,247081.0
642,717,Science and Technology 1,98977.0,146022.0,244999.0
640,715,Passion 1,178860.0,63667.0,242527.0
171,190,train,220540.0,20565.0,241105.0
757,840,Maternal and child population,136526.0,101488.0,238014.0
185,204,sports and gym,103547.0,129762.0,233309.0
112,131,"online shopping, price comparing",194402.0,34562.0,228964.0
919,1011,Third-party card management,126400.0,102028.0,228428.0
217,236,network disk,168156.0,60271.0,228427.0
507,566,Personal Effectiveness,199099.0,26990.0,226089.0
636,711,Irritation / Fun 1,170167.0,53176.0,223343.0
499,558,service,196737.0,24732.0,221469.0
776,859,pursue,194170.0,20268.0,214438.0
735,818,literature,149304.0,45192.0,194496.0
703,785,Medium risk,177490.0,15869.0,193359.0
632,707,Trendy / cool 1,126073.0,65693.0,191766.0
192,211,takeaway ordering,134893.0,49488.0,184381.0
280,326,Condition of the vehicles,151534.0,32595.0,184129.0
637,712,Nature 1,35679.0,144501.0,180180.0
913,1005,Traditional securities brokerage,141345.0,26582.0,167927.0
863,951,High-speed rail train reservation,151091.0,11922.0,163013.0
99,100,Cute style comic,128001.0,34083.0,162084.0
788,871,service,147387.0,14528.0,161915.0
845,933,Purpose of travel,119823.0,40493.0,160316.0
212,231,notes,74979.0,74942.0,149921.0
